,GEOGRAPHY_CODE,All categories: English as a household language,All people aged 16 and over in household have English as a main language (English or Welsh in Wales),At least one but not all people aged 16 and over in household have English as a main language (English or Welsh in Wales),No people aged 16 and over in household but at least one person aged 3 to 15 has English as a main language (English or Welsh in Wales),No people in household have English as a main language (English or Welsh in Wales)
5959,E02006096,2849.0,0.9571779571779572,0.013338013338013339,0.002808002808002808,0.026676026676026678
5960,E02006097,2933.0,0.9457892942379816,0.013978861234231163,0.002045687009887487,0.03818615751789976
5961,E02006098,3158.0,0.9892336922102597,0.006016466117796073,0.0006333122229259025,0.004116529449018366
5962,E02006099,2736.0,0.9817251461988304,0.010964912280701754,0.0025584795321637425,0.004751461988304093
5963,E02006100,2955.0,0.9675126903553299,0.012521150592216581,0.0040609137055837565,0.015905245346869712
5964,E02006101,2420.0,0.9772727272727273,0.01115702479338843,0.00041322314049586776,0.01115702479338843
5965,E02006102,3083.0,0.973726889393448,0.011352578657152125,0.003243593902043464,0.01167693804735647
5966,E02006103,3079.0,0.989282234491718,0.007469957778499512,0.000974342318934719,0.0022734654108476776
5967,E02006104,3264.0,0.9702818627450981,0.011948529411764705,0.0012254901960784314,0.016544117647058824
5968,E02006105,4680.0,0.9113247863247863,0.029487179487179487,0.004487179487179487,0.0547008547008547
5969,E02006106,2991.0,0.9638916750250752,0.01671681711802073,0.0043463724506853894,0.015045135406218655
5970,E02006107,3458.0,0.9609600925390399,0.015615962984384037,0.004626951995373048,0.018796992481203006
5971,E02006108,4029.0,0.9319930503847108,0.0196078431372549,0.004219409282700422,0.04417969719533383
5972,E02006109,3355.0,0.9687034277198212,0.013412816691505217,0.0038748137108792846,0.014008941877794338
5973,E02006110,3441.0,0.968323161871549,0.014240046498111014,0.0023249055507120024,0.015111886079628016
5974,E02006111,4322.0,0.982415548357242,0.012262841277186487,0.0006941230911614993,0.004627487274409995
5975,E02006112,3094.0,0.9806076276664512,0.012928248222365869,0.0009696186166774402,0.005494505494505495
5976,E02006113,3340.0,0.9703592814371258,0.01407185628742515,0.002694610778443114,0.012874251497005988
5977,E02006114,2887.0,0.9882230689296848,0.0065812261863526155,0.00034638032559750607,0.0048493245583650845
5978,E02006115,3254.0,0.990780577750461,0.006760909649661954,0.0009219422249539029,0.0015365703749231714
5979,E02006116,3519.0,0.986643932935493,0.009946007388462632,0.0,0.0034100596760443308
5980,E02006117,2623.0,0.9881814715974075,0.008006099885627144,0.0,0.003812428516965307
5981,E02006118,3032.0,0.9884564643799473,0.007255936675461741,0.00032981530343007914,0.00395778364116095
5982,E02006119,3481.0,0.9830508474576272,0.01005458201666188,0.0005745475438092502,0.006320022981901752
5983,E02006120,3698.0,0.9886425094645754,0.006760411032990805,0.00027041644131963225,0.004326663061114116
5984,E02006121,2293.0,0.9908416921064108,0.0039249890972525075,0.0013083296990841692,0.0039249890972525075
5985,E02006122,2839.0,0.9837971116590348,0.009862627685804861,0.0007044734061289186,0.005635787249031349
5986,E02006123,2616.0,0.9870030581039755,0.009174311926605505,0.00038226299694189603,0.0034403669724770644
5987,E02006124,2992.0,0.9862967914438503,0.007018716577540107,0.001336898395721925,0.0053475935828877
5988,E02006125,3248.0,0.9852216748768473,0.008928571428571428,0.0006157635467980296,0.005233990147783251
5989,E02006126,3372.0,0.9896204033214709,0.0050415183867141165,0.0005931198102016608,0.004744958481613286
5990,E02006127,2797.0,0.9767608151590991,0.016088666428316054,0.0014301036825169824,0.00572041473006793
5991,E02006128,3745.0,0.9858477970627504,0.007743658210947931,0.000267022696929239,0.006141522029372497
5992,E02006129,3461.0,0.9777520947702976,0.009823750361167293,0.0005778676683039584,0.011846287200231146
5993,E02006130,3090.0,0.9915857605177993,0.005501618122977346,0.00032362459546925567,0.0025889967637540453
5994,E02006131,3152.0,0.9850888324873096,0.010469543147208122,0.0006345177664974619,0.0038071065989847717
5995,E02006132,2535.0,0.9818540433925049,0.009467455621301775,0.0007889546351084812,0.007889546351084813
5996,E02006133,2942.0,0.9707681849082257,0.014276002719238613,0.0013596193065941536,0.013596193065941536
5997,E02006134,3951.0,0.9802581624905087,0.012401923563654771,0.0020248038471273096,0.005315110098709187
5998,E02006135,3285.0,0.9823439878234399,0.01004566210045662,0.0009132420091324201,0.006697108066971081
5999,E02006136,3208.0,0.9906483790523691,0.007169576059850374,0.0003117206982543641,0.0018703241895261845
6000,E02006137,3673.0,0.9245848080588075,0.02858698611489246,0.006534168254832562,0.04029403757146747
6001,E02006138,2502.0,0.8489208633093526,0.05755395683453238,0.011990407673860911,0.0815347721822542
6002,E02006139,2931.0,0.7823268509041282,0.09382463323097918,0.013988399863527807,0.10986011600136472
6003,E02006140,3430.0,0.9489795918367347,0.01661807580174927,0.0029154518950437317,0.0314868804664723
6004,E02006141,4377.0,0.7644505368974184,0.07105323280785926,0.014850354123829106,0.1496458761708933
6005,E02006142,2211.0,0.9800995024875622,0.010402532790592492,0.0013568521031207597,0.008141112618724558
6006,E02006143,3033.0,0.9558193208044841,0.022090339597757996,0.0019782393669634025,0.020112100230794593
