,GEOGRAPHY_CODE,Dependent children in household: Age 0 to 4,Dependent children in household: All ages,No adults in employment in household,No adults in employment in household: No dependent children,No adults in employment in household: With dependent children,One person in household with a long-term health problem or disability,One person in household with a long-term health problem or disability: No dependent children,One person in household with a long-term health problem or disability: With dependent children,count of Household; All households
2993,E02003076,0.10475937250731189,0.29992023398032436,0.3084286094123903,0.2882212177612337,0.020207391651156606,0.2478064344589205,0.201808029779314,0.04599840467960649,1
2994,E02003077,0.09152950622240064,0.27338418305901246,0.3227619429947812,0.30871136089923723,0.014050582095543959,0.2228020875150542,0.18707346447209955,0.035728623042954634,1
2995,E02003078,0.09687953555878084,0.2855587808417997,0.3374455732946299,0.31059506531204645,0.026850507982583455,0.2612481857764877,0.22097242380261248,0.04027576197387518,1
2996,E02003079,0.13188220230473752,0.3451984635083227,0.2683738796414853,0.23380281690140844,0.034571062740076826,0.2476312419974392,0.1912932138284251,0.056338028169014086,1
2997,E02003080,0.09241766658156753,0.25095736533061014,0.46030125095736535,0.4176665815675262,0.04263466938983916,0.33648200153178454,0.2866990043400562,0.049782997191728365,1
2998,E02003081,0.08628211342704799,0.23533688802714495,0.4110518662142511,0.3877847794474067,0.0232670867668444,0.2915656810470189,0.2532719340765875,0.03829374697043141,1
2999,E02003082,0.061531551762856504,0.1434987648776106,0.4145519874242084,0.3925443521221648,0.022007635302043565,0.30159443072086234,0.27734111834718167,0.024253312373680665,1
3000,E02003084,0.08767416934619507,0.21028938906752412,0.43215434083601284,0.3877813504823151,0.044372990353697746,0.335048231511254,0.29303322615219723,0.042015005359056806,1
3001,E02003085,0.1406108255216208,0.338675536740248,0.4557000302388872,0.341699425461143,0.11400060477774418,0.3628666465074085,0.2736619292410039,0.0892047172664046,1
3002,E02003086,0.08256227758007118,0.21352313167259787,0.42277580071174375,0.3925266903914591,0.030249110320284697,0.302491103202847,0.2697508896797153,0.032740213523131674,1
3003,E02003087,0.08513278729213204,0.24075452965996524,0.38222884090345,0.3608835939439067,0.02134524695954331,0.28046661702655745,0.24125093075204765,0.0392156862745098,1
3004,E02003088,0.07707910750507099,0.2442770211532889,0.3709069834830484,0.3601854534917415,0.010721529991306867,0.2720950449145175,0.23732251521298176,0.034772529701535784,1
3005,E02003089,0.10110584518167456,0.26105845181674564,0.457740916271722,0.4040284360189573,0.053712480252764615,0.3155608214849921,0.2669826224328594,0.0485781990521327,1
3006,E02003090,0.07815845824411134,0.2751605995717345,0.34582441113490364,0.3304782298358315,0.015346181299072092,0.22019985724482513,0.185581727337616,0.03461812990720914,1
3007,E02003091,0.09506531204644413,0.29172714078374457,0.3479680696661829,0.3269230769230769,0.02104499274310595,0.2790275761973875,0.23149492017416545,0.04753265602322206,1
3008,E02003092,0.09925026776151374,0.3620135665833631,0.24741163870046412,0.22313459478757586,0.024277043912888253,0.21599428775437343,0.1670831845769368,0.04891110317743663,1
3009,E02003093,0.07043286867204696,0.24761555392516507,0.34115920763022745,0.3334556126192223,0.007703595011005136,0.24541452677916362,0.2087307410124725,0.036683785766691124,1
3010,E02003094,0.13136486893642663,0.32148237420909914,0.27116601385959627,0.242241639047906,0.02892437481169027,0.2124133775233504,0.16872551973485989,0.04368785778849051,1
3011,E02003095,0.0954829232464194,0.32611090708777085,0.24495042232831435,0.22805728975394784,0.016893132574366507,0.21520381931692986,0.17150201983106866,0.043701799485861184,1
3012,E02003096,0.12725266642147848,0.32548731151158516,0.2618609783008459,0.21956601691798455,0.042294961382861346,0.22397940419271792,0.17212210371460096,0.05185730047811696,1
3013,E02003097,0.07982096232748974,0.24729578515479297,0.3461395001864976,0.33345766505035435,0.01268183513614323,0.2629615814994405,0.22566206639313688,0.03729951510630362,1
3014,E02003098,0.16622436670687576,0.37973462002412545,0.11531966224366706,0.09601930036188179,0.019300361881785282,0.14523522316043425,0.10036188178528348,0.04487334137515078,1
3015,E02003099,0.10591133004926108,0.2867698803659395,0.3240675580577058,0.29802955665024633,0.026038001407459536,0.27621393384940185,0.22800844475721324,0.0482054890921886,1
3016,E02003100,0.12140008861320337,0.28334071776694725,0.32233052724856004,0.2846699158174568,0.03766061143110323,0.2671688081524147,0.21665928223305272,0.05050952591936198,1
3017,E02003101,0.17976218232688274,0.395663324784332,0.1307997202145022,0.09932385171368617,0.03147586850081604,0.13896013056656564,0.08859874096525996,0.050361389601305664,1
3018,E02003102,0.0989522700814901,0.31587116802483506,0.3329452852153667,0.31354287931703534,0.019402405898331393,0.22235157159487776,0.1839348079161816,0.03841676367869616,1
3019,E02003103,0.15538847117794485,0.3752237737200143,0.20551378446115287,0.17472252058718224,0.03079126387397064,0.21303258145363407,0.15932688865019692,0.05370569280343716,1
