,GEOGRAPHY_CODE,All people aged 3 and over,No knowledge of Welsh,Other combination of skills,Speaks and reads but does not write Welsh,Speaks but does not read or write Welsh,"Speaks, reads and writes Welsh",Understands spoken Welsh only
138,W02000139,1,0.817201166180758,0.022740524781341108,0.008600583090379008,0.018221574344023325,0.09402332361516035,0.039212827988338195
139,W02000140,1,0.8254116185150668,0.02267785026405716,0.006989748369058714,0.025007766387076732,0.08543025784405095,0.034482758620689655
140,W02000141,1,0.8164717040784065,0.021814732848561492,0.0094846664558963,0.022130888397091368,0.08378122036041732,0.04631678785962694
141,W02000142,1,0.2693516699410609,0.016110019646365423,0.027701375245579567,0.06267190569744598,0.5644400785854616,0.05972495088408644
142,W02000143,1,0.3825374695015685,0.02405019170442663,0.03572673405367724,0.060299756012547924,0.4098989194841408,0.08748692924363889
143,W02000144,1,0.31359032076533483,0.020540236353404615,0.028137310073157007,0.056837366347777155,0.51702307259426,0.0638716938660664
144,W02000145,1,0.3347058823529412,0.02602941176470588,0.04029411764705882,0.06338235294117647,0.44382352941176473,0.09176470588235294
145,W02000146,1,0.3164169486064121,0.023521830191719027,0.03431609473175447,0.05123247945867569,0.4979861446753665,0.07652650233607218
146,W02000147,1,0.38235294117647056,0.028538147932440302,0.0320326150262085,0.06319161327897496,0.39429237041351195,0.09959231217239371
147,W02000148,1,0.41793103448275865,0.037241379310344824,0.03270935960591133,0.06660098522167487,0.3115270935960591,0.13399014778325122
148,W02000149,1,0.36868151290208556,0.028455284552845527,0.044538706256627786,0.07794273594909862,0.3598444680098975,0.12053729232944503
149,W02000150,1,0.35896665665364974,0.023580654851306698,0.04040252328026434,0.06338239711625113,0.4205467107239411,0.09312105737458697
150,W02000151,1,0.19557089444923784,0.017831463905665805,0.04918032786885246,0.0916019557089445,0.5690250215703192,0.07679033649698015
151,W02000152,1,0.2405863753952285,0.023857430296062087,0.05734406438631791,0.10031618281115263,0.4788732394366197,0.09902270767461914
152,W02000153,1,0.27642049420633813,0.02722323049001815,0.04076504257992461,0.06449811531481223,0.5074689375959793,0.08362417981292754
153,W02000154,1,0.24317653890824623,0.025261324041811847,0.05502322880371661,0.11033681765389082,0.44976771196283394,0.11643437862950058
154,W02000155,1,0.5162837162837163,0.035564435564435566,0.02877122877122877,0.04915084915084915,0.2681318681318681,0.1020979020979021
