,GEOGRAPHY_CODE,All households,No adults in employment - with dependent children,No adults in employment - without dependent children,With dependent children - aged 0 to 4,With dependent children - all ages,With one or more people with a limiting long-term illness
4686,E02004687,1,0.06186406186406186,0.20309320309320308,0.1737891737891738,0.382987382987383,0.29833129833129834
4687,E02004688,1,0.04280618311533888,0.34185493460166466,0.11058263971462545,0.26932223543400713,0.36563614744351963
4688,E02004689,1,0.012053571428571429,0.27767857142857144,0.090625,0.2785714285714286,0.2857142857142857
4689,E02004690,1,0.019967266775777415,0.1662847790507365,0.137152209492635,0.3567921440261866,0.2265139116202946
4690,E02004691,1,0.01706036745406824,0.27034120734908135,0.11056430446194225,0.2795275590551181,0.25984251968503935
4691,E02004692,1,0.0024587284861257463,0.2581664910432034,0.09343168247277836,0.28626624517035476,0.2609764664559185
4692,E02004693,1,0.04242819843342036,0.17787206266318537,0.1475195822454308,0.3410574412532637,0.260443864229765
4693,E02004694,1,0.01957831325301205,0.26543674698795183,0.10240963855421686,0.26543674698795183,0.26995481927710846
4694,E02004695,1,0.00765076507650765,0.04275427542754275,0.19801980198019803,0.4666966696669667,0.12646264626462647
4695,E02004696,1,0.010309278350515464,0.2548453608247423,0.11257731958762887,0.2775257731958763,0.2490721649484536
4696,E02004697,1,0.01728276524243879,0.24243879020643302,0.10657705232837254,0.3043686989918387,0.24243879020643302
4697,E02004698,1,0.04055258467023173,0.3502673796791444,0.11363636363636363,0.26737967914438504,0.34759358288770054
4698,E02004699,1,0.012471366759989819,0.24382794604224994,0.10027996945787732,0.3000763553066938,0.2476457113769407
4699,E02004700,1,0.04558541266794626,0.1463531669865643,0.21880998080614203,0.4289827255278311,0.2480806142034549
4700,E02004701,1,0.015249714067861228,0.3454060236370568,0.08997331300038124,0.2569576820434617,0.2783072817384674
4701,E02004702,1,0.034597471723220224,0.15469061876247506,0.13140385894876913,0.3502994011976048,0.239853626081171
4702,E02004703,1,0.012580299785867237,0.25160599571734477,0.10331905781584583,0.30701284796573874,0.26873661670235544
4703,E02004704,1,0.021052631578947368,0.2337719298245614,0.11798245614035088,0.3144736842105263,0.26710526315789473
4704,E02004705,1,0.028093434343434344,0.27809343434343436,0.11426767676767677,0.3194444444444444,0.273989898989899
4705,E02004706,1,0.020422291450328832,0.2616822429906542,0.10972654897888542,0.29110418830045,0.27345102111457253
4706,E02004707,1,0.0177633224918689,0.2839629722291719,0.09982486865148861,0.30222667000250186,0.24418313735301475
4707,E02004708,1,0.032453245324532455,0.3446094609460946,0.10423542354235424,0.2588008800880088,0.27970297029702973
4708,E02004709,1,0.019764216366158115,0.24306518723994452,0.11927877947295423,0.33737864077669905,0.25624133148404993
4709,E02004710,1,0.02557755775577558,0.2495874587458746,0.11262376237623763,0.3510726072607261,0.2924917491749175
4710,E02004711,1,0.013247539742619227,0.30999242997728993,0.08894776684330052,0.2808478425435276,0.2937168811506434
4711,E02004712,1,0.012840110058086213,0.3307856924487924,0.07704066034851727,0.28156527055946196,0.27850810149801286
4712,E02004713,1,0.011579285944033452,0.2302991315535542,0.10389192666452235,0.3316178835638469,0.2663235767127694
4713,E02004714,1,0.009870660313138189,0.3008849557522124,0.09155888359428183,0.2675289312457454,0.28046289993192647
4714,E02004715,1,0.02696245733788396,0.24197952218430033,0.11467576791808874,0.3293515358361775,0.3081911262798635
4715,E02004716,1,0.023809523809523808,0.24464285714285713,0.1306547619047619,0.3568452380952381,0.2779761904761905
4716,E02004717,1,0.05049536593160754,0.3563438798338127,0.12240332374560563,0.31543624161073824,0.38095238095238093
4717,E02004718,1,0.0421468554494567,0.24201514652617714,0.13039183404675667,0.31050378663154427,0.30589397431675996
4718,E02004719,1,0.013911182450508293,0.2169609416800428,0.12921348314606743,0.3624933119315142,0.25013376136971643
4719,E02004720,1,0.02267723469837076,0.24878907970057243,0.10766182298546896,0.28445618670189343,0.28401585204755614
4720,E02004721,1,0.01839163360980887,0.1139560043274432,0.1990623873061666,0.4165164082221421,0.1568698160836639
4721,E02004722,1,0.02176096417810512,0.30063608972212924,0.11985269501171744,0.3039839303649146,0.33311014395714766
4722,E02004723,1,0.014370932754880694,0.22234273318872017,0.11822125813449023,0.3232104121475054,0.25352494577006507
4723,E02004724,1,0.05943238731218698,0.22370617696160267,0.13989983305509182,0.3469115191986644,0.27646076794657765
4724,E02004725,1,0.02689376961004034,0.32003585835948006,0.09143881667413715,0.2608695652173913,0.3124159569699686
4725,E02004726,1,0.024637043554773426,0.2837659480862297,0.10250769907611086,0.2564892212934448,0.2890453145622525
4726,E02004727,1,0.012341446691806651,0.16420980459376072,0.17072334590332533,0.3620157696263284,0.21391840932464862
4727,E02004728,1,0.02029769959404601,0.23037889039242218,0.14512855209742895,0.34607577807848444,0.2615020297699594
4728,E02004729,1,0.05623471882640587,0.2706950750960531,0.12748864827104436,0.3527768075445337,0.3332169053440447
4729,E02004730,1,0.014129181084198385,0.29873125720876587,0.0922722029988466,0.29815455594002305,0.2897923875432526
4730,E02004731,1,0.010880316518298714,0.23771843059676886,0.13353115727002968,0.3580613254203759,0.23277283217936037
4731,E02004732,1,0.013933895009721323,0.2867790019442644,0.10790667530784187,0.3169151004536617,0.2858068697342839
4732,E02004733,1,0.017258883248730966,0.24602368866328256,0.11505922165820642,0.3082910321489002,0.2639593908629442
4733,E02004734,1,0.01951951951951952,0.2972972972972973,0.09759759759759759,0.2705205205205205,0.29179179179179177
4734,E02004735,1,0.009763779527559056,0.3074015748031496,0.08692913385826771,0.26551181102362204,0.2985826771653543
4735,E02004736,1,0.013571869216533004,0.33682911782850095,0.07495373226403455,0.26002467612584823,0.31122763726095004
4736,E02004737,1,0.04742268041237113,0.3120274914089347,0.1281786941580756,0.3024054982817869,0.32646048109965636
4737,E02004738,1,0.026399491094147583,0.3753180661577608,0.09064885496183206,0.2684478371501272,0.3594147582697201
4738,E02004739,1,0.020227111426543647,0.3828956706884315,0.07771469127040455,0.27927608232789214,0.34776437189496096
4739,E02004740,1,0.012939615129396152,0.3603185136031851,0.07796947577969476,0.2796947577969476,0.29329794293297945
4740,E02004741,1,0.041423948220064725,0.28705501618122975,0.09902912621359224,0.31035598705501616,0.36601941747572814
4741,E02004742,1,0.03800702650910252,0.316192909613542,0.10412008942829767,0.297029702970297,0.375279463430214
