,GEOGRAPHY_CODE,All people aged 16-74,Full-time students: Age 18 to 74: Economically active: In employment,Full-time students: Age 18 to 74: Economically active: Unemployed,Full-time students: Age 18 to 74: Economically inactive,Highest level of qualification: Level 1 qualifications,Highest level of qualification: Level 2 qualifications,Highest level of qualification: Level 3 qualifications,Highest level of qualification: Level 4 qualifications and above,Highest level of qualification: Other qualifications,No qualifications,Schoolchildren and full-time students: Age 16 to 17,Schoolchildren and full-time students: Age 18 to 74
3956,E02003957,1,0.0066344993968636915,0.0013570566948130278,0.009951749095295536,0.17400482509047044,0.22195416164053075,0.06317852834740652,0.12892038600723763,0.08323281061519903,0.32870928829915563,0.02382388419782871,0.017943305186972257
3957,E02003958,1,0.006888633754305396,0.0009567546880979717,0.009567546880979716,0.1932644469957903,0.20761576731725986,0.05951014159969384,0.09433601224646,0.08151549942594719,0.36375813241484883,0.02564102564102564,0.017412935323383085
3958,E02003959,1,0.006811409110259685,0.0019157088122605363,0.007875691783737761,0.21264367816091953,0.21817794806300553,0.06492124308216263,0.08258833546189868,0.08258833546189868,0.3390804597701149,0.032354193273733504,0.016602809706257982
3959,E02003960,1,0.006913580246913581,0.0007407407407407407,0.010617283950617284,0.16469135802469137,0.2237037037037037,0.0654320987654321,0.18296296296296297,0.08444444444444445,0.2787654320987654,0.029135802469135802,0.018271604938271607
3960,E02003961,1,0.010397665085735133,0.001459321415541773,0.011309740970448741,0.19025902955125867,0.23987595767967895,0.07460780736957315,0.13462240058372857,0.08336373586282379,0.2772710689529369,0.028456767603064575,0.023166727471725646
3961,E02003962,1,0.010476428036916938,0.0009977550511349464,0.009728111748565728,0.18084310301820902,0.22075330506360688,0.07433275130955351,0.1451733599401347,0.08006984285357945,0.29882763781491645,0.026440508855076077,0.021202294836617612
3962,E02003963,1,0.009052808046940487,0.001341156747694887,0.011567476948868399,0.17468566638725902,0.21525565800502933,0.06119027661357921,0.10762782900251466,0.08214585079631181,0.35909471919530594,0.026990779547359598,0.02196144174350377
3963,E02003964,1,0.007597173144876325,0.0010600706713780918,0.011307420494699646,0.15265017667844524,0.2252650176678445,0.06996466431095406,0.18091872791519434,0.08957597173144877,0.2816254416961131,0.02862190812720848,0.019964664310954065
3964,E02003965,1,0.0056626668464338685,0.0006741270055278415,0.007819873264122961,0.18619387892678982,0.18821625994337332,0.05622219226102198,0.12687070244033977,0.06660374814615073,0.3758932182823244,0.02305514358905218,0.014156667116084671
3965,E02003966,1,0.008461538461538461,0.000576923076923077,0.008461538461538461,0.15884615384615386,0.2051923076923077,0.07076923076923076,0.22480769230769232,0.07480769230769231,0.2655769230769231,0.022307692307692306,0.0175
3966,E02003967,1,0.004945429740791269,0.0011937244201909959,0.009720327421555252,0.17445429740791268,0.18877899045020463,0.055593451568894954,0.14768076398362892,0.06701909959072305,0.36647339699863574,0.027455661664392905,0.015859481582537516
3967,E02003968,1,0.007918552036199095,0.0006464124111182935,0.0074337427278603745,0.179541047188106,0.2057207498383969,0.06302521008403361,0.11861667744020685,0.07950872656755009,0.35358758888170655,0.02343244990303814,0.015998707175177762
3968,E02003969,1,0.006732589943193772,0.0014727540500736377,0.005259835893120134,0.16284451925099938,0.1554807490006312,0.046286555859457186,0.0624868504102672,0.07258573532505785,0.5003155901535872,0.02461603197980223,0.013465179886387544
3969,E02003970,1,0.00702576112412178,0.000585480093676815,0.01209992193598751,0.141295862607338,0.19496487119437939,0.07201405152224824,0.3015222482435597,0.051327088212334115,0.2388758782201405,0.026736924277907883,0.019320843091334895
3970,E02003971,1,0.007199297629499561,0.0007023705004389816,0.010535557506584723,0.14398595258999122,0.18946444249341526,0.07638279192273925,0.2820017559262511,0.06444249341527655,0.2437225636523266,0.03160667251975417,0.018437225636523266
3971,E02003972,1,0.009117601607170452,0.0004636068613815484,0.007572245402565291,0.19456034615978984,0.2171225467470252,0.06258692628650904,0.12702828001854427,0.07232267037552156,0.32637923041261013,0.022716736207695872,0.017153453871117292
3972,E02003973,1,0.007417397167902899,0.0013486176668914363,0.006237356709372893,0.18796358732299392,0.1827376938637896,0.051921780175320294,0.06102494942683749,0.07484828051247472,0.44150370869858396,0.024275118004045852,0.015003371544167228
3973,E02003974,1,0.0065382576426930555,0.0014136773281498499,0.005477999646580668,0.18342463332744302,0.2042763739176533,0.053896448135713024,0.089415091005478,0.07969605937444778,0.3892913942392649,0.028273546562996996,0.013429934617423573
