,GEOGRAPHY_CODE,All females aged 16-74 in employment,All males aged 16-74 in employment,Female - Mean hours worked,Females - Full-time - 31 to 37 hours,Females - Full-time - 38 to 48 hours,Females - Full-time - 49 or more hours,Females - Part-time - 1 to 5 hours,Females - Part-time - 16 to 30 hours,Females - Part-time - 6 to 15 hours,Male - Mean hours worked,Males - Full-time - 31 to 37 hours,Males - Full-time - 38 to 48 hours,Males - Full-time - 49 or more hours,Males - Part-time - 1 to 5 hours,Males - Part-time - 16 to 30 hours,Males - Part-time - 6 to 15 hours
2891,E02002892,0.8863636363636364,1056.0,30.47,0.2178030303030303,0.2490530303030303,0.03598484848484849,0.016098484848484848,0.2623106060606061,0.10511363636363637,41.16,0.1875,0.5426136363636364,0.18276515151515152,0.002840909090909091,0.058712121212121215,0.02556818181818182
2892,E02002893,0.7111764705882353,1700.0,31.22,0.16705882352941176,0.22294117647058823,0.04,0.017058823529411765,0.16411764705882353,0.1,38.04,0.1811764705882353,0.47,0.15058823529411763,0.012941176470588235,0.1264705882352941,0.058823529411764705
2893,E02002894,0.851875,1600.0,31.93,0.1875,0.2475,0.070625,0.01625,0.225625,0.104375,42.26,0.170625,0.491875,0.248125,0.0025,0.050625,0.03625
2894,E02002895,0.6773504273504274,1404.0,34.61,0.12962962962962962,0.2207977207977208,0.10327635327635327,0.011396011396011397,0.10113960113960115,0.1111111111111111,41.06,0.1346153846153846,0.43660968660968663,0.26424501424501423,0.01282051282051282,0.09472934472934473,0.05698005698005698
2895,E02002896,0.8020897357098955,1627.0,32.32,0.19852489244007376,0.2587584511370621,0.05347264904732637,0.011677934849416103,0.1856177012907191,0.0940381069452981,38.93,0.19053472649047326,0.510141364474493,0.14566687154271665,0.004917025199754148,0.10325752919483712,0.04548248309772587
2896,E02002897,0.7883053600433135,1847.0,29.91,0.18408229561451,0.18841364374661612,0.04439631835408771,0.016242555495397944,0.24634542501353546,0.10882512181916622,42.43,0.15430427720628045,0.4742826204656199,0.2766648619382783,0.005955603681645912,0.05468327016783974,0.03410936654033568
2897,E02002898,0.7855897733875654,1721.0,31.39,0.1946542707728065,0.23242300987797793,0.061011040092969204,0.023823358512492735,0.1481696687972109,0.12550842533410808,37.42,0.18710052295177224,0.4398605461940732,0.16385822196397443,0.030796048808832074,0.10923881464264962,0.06914584543869844
2898,E02002899,0.9085520745131245,1181.0,27.89,0.18374259102455545,0.19729043183742592,0.04826418289585097,0.04572396274343776,0.28619813717188824,0.14733276883996613,36.18,0.12870448772226925,0.43014394580863674,0.17781541066892464,0.03217612193056731,0.1126164267569856,0.11854360711261643
2899,E02002900,0.7434926644581165,2113.0,32.37,0.19072408897302415,0.23710364410790347,0.048272598201609083,0.017983909133932798,0.16800757217226692,0.08140085186938002,39.63,0.19640321817321343,0.47704685281590153,0.17983909133932796,0.007572172266919072,0.1012778040700426,0.03786086133459536
2900,E02002901,0.8586707410236822,1309.0,30.18,0.21466768525592056,0.22307104660045837,0.03132161955691368,0.016042780748663103,0.2773109243697479,0.0962566844919786,40.51,0.20244461420932008,0.5286478227654698,0.1703590527119939,0.0038197097020626434,0.06646294881588999,0.02826585179526356
