,GEOGRAPHY_CODE,Buddhist,Christian,Hindu,Jewish,Muslim,No religion,Not answered,Other religion,Sikh,Total: All usual residents
1571,E02001637,0.00093338000233345,0.2122272780305682,0.010617197526542993,0.0008167075020417688,0.6162641465406604,0.109438805273597,0.04830241512075604,0.000466690001166725,0.00093338000233345,8571.0
1572,E02001638,0.008597999649061239,0.2682926829268293,0.007720652746095806,0.0015792244253377786,0.026320407088962976,0.6078259343744516,0.07001228285664152,0.00807159150728198,0.0015792244253377786,5699.0
1573,E02001639,0.006693440428380187,0.34789156626506024,0.009538152610441768,0.0023427041499330657,0.038821954484605084,0.5286144578313253,0.057396251673360106,0.007028112449799197,0.0016733601070950468,5976.0
1574,E02001640,0.00852648012489492,0.267082983067131,0.017773507865978144,0.005163924582682839,0.05680317040951123,0.5572234898522878,0.07577759096913654,0.008886753932989072,0.0027620991953884954,8327.0
1575,E02001642,0.0016477658233982747,0.38276630803528156,0.0023262576330328583,0.0003877096055054764,0.2170204516816904,0.34011825142967916,0.050111466511582825,0.0039740234564311335,0.0016477658233982747,10317.0
1576,E02001643,0.0046631291204373695,0.46004180736452804,0.01463257758482071,0.00032159511175430133,0.042772149863322076,0.4116417430455057,0.061585463900948705,0.003698343785174465,0.0006431902235086027,6219.0
1577,E02001646,0.006398537477148081,0.28153564899451555,0.010446591799425437,0.003917471924784539,0.0515800470096631,0.5528858709845913,0.08605379994776705,0.004962131104727083,0.0022199007573779055,7658.0
1578,E02001647,0.0014328928514567743,0.46967043464416497,0.0028657857029135486,0.000636841267314122,0.07658016239452317,0.38815475242795733,0.05333545613755771,0.004139468237541793,0.0031842063365706097,6281.0
1579,E02001648,0.004855547462976451,0.35761107064821557,0.014688031075503764,0.0024277737314882253,0.024763292061179897,0.5058266569555717,0.0808448652585579,0.006312211701869385,0.002670551104637048,8238.0
1580,E02001649,0.003917995444191344,0.395626423690205,0.005558086560364464,0.00045558086560364467,0.08747152619589978,0.4427334851936219,0.0573120728929385,0.004829157175398633,0.0020956719817767653,10975.0
1581,E02001650,0.006159306816995511,0.24574590249504125,0.010857083202839546,0.002192295646727216,0.18853742561854056,0.44639315168597976,0.08988412151581585,0.007725232278943522,0.002505480739116818,9579.0
1582,E02001651,0.005198019801980198,0.475,0.02698019801980198,0.002103960396039604,0.038985148514851485,0.39133663366336635,0.05420792079207921,0.002103960396039604,0.004084158415841584,8080.0
1583,E02001652,0.009091615510140648,0.19931618618385266,0.028828968839847695,0.0005439428082990132,0.22425984925013598,0.4193021990830678,0.10878856165980262,0.005905664775817857,0.003963011889035667,12869.0
1584,E02001653,0.004290119318943558,0.37042498994503287,0.01514948384501944,0.0009384636010189033,0.09545515484649417,0.4408097600214506,0.06461992224158734,0.005898914063547392,0.0024131921169057513,7459.0
1585,E02001654,0.0012694382735639479,0.4839733417962552,0.0017454776261504284,0.00015867978419549348,0.022849888924151063,0.439543002221517,0.0463344969850841,0.0036496350364963502,0.0004760393525864805,6302.0
1586,E02001655,0.002215272348188689,0.4175136825645035,0.001954652071931196,0.0009121709669012249,0.031925983841542875,0.48266875162887674,0.058378941881678394,0.003127443315089914,0.0013031013812874641,7674.0
1587,E02001656,0.005529835390946502,0.2898662551440329,0.009259259259259259,0.0030864197530864196,0.10532407407407407,0.520704732510288,0.057484567901234566,0.007458847736625514,0.001286008230452675,7776.0
1588,E02001657,0.0038402457757296467,0.34847487382049597,0.007351327627825323,0.004608294930875576,0.02479701558042572,0.5458635066929998,0.0576036866359447,0.005376344086021506,0.002084704849681808,9114.0
1589,E02001658,0.0068454078722190535,0.3797299866894847,0.0019015021867275148,0.0,0.06617227609811752,0.4806997528047157,0.06084806997528047,0.003612854154782278,0.00019015021867275147,5259.0
1590,E02001659,0.0015455950540958269,0.43362527906577364,0.0013738622703074017,0.000858663918942126,0.023870856946591103,0.4702043620127082,0.06285419886656363,0.004808517946075906,0.000858663918942126,5823.0
1591,E02001660,0.004662477194405028,0.2522805594972633,0.007297790391242651,0.002128522197445773,0.2187309953375228,0.45134806405838235,0.05463206973444151,0.008716805189539835,0.00020271639975674033,9866.0
1592,E02001661,0.003124593151933342,0.3606301262856399,0.002734019007941674,0.0005207655253222236,0.10962114308032808,0.45020179664106236,0.06600703033459185,0.006769951829188907,0.00039057414399166774,7681.0
1593,E02001662,0.0029637612825003366,0.4389061026539135,0.0012124477973865014,0.0009430149535228344,0.016839552741479188,0.4678701333692577,0.06803179307557591,0.0028290448605685034,0.0004041492657955005,7423.0
1594,E02001663,0.007877223957625967,0.2710851555072661,0.0017655846801575444,0.0006790710308298248,0.059079179682194755,0.593236452532935,0.05717778079587125,0.008692109194621758,0.0004074426184978949,7363.0
1595,E02001664,0.0025449339907746144,0.47447113090504217,0.0014315253698107206,0.0012724669953873072,0.03244790838237633,0.4356608875457293,0.04835374582471767,0.0034992842373150947,0.0003181167488468268,6287.0
1596,E02001665,0.0026517083120856707,0.4563997960224375,0.016216216216216217,0.002855685874553799,0.04008159102498725,0.41438041815400306,0.06037735849056604,0.0034676185619581844,0.0035696073431922487,9805.0
1597,E02001666,0.003213258921021478,0.4202604430914933,0.0013529511246406223,0.0005073566717402334,0.006426517842042956,0.5007610350076104,0.06257398951462878,0.002367664468121089,0.0025367833587011668,5913.0
1598,E02001669,0.003089598352214212,0.3649588053553038,0.004505664263645726,0.000772399588053553,0.041838311019567455,0.5162203913491246,0.06153450051493306,0.005792996910401648,0.0012873326467559218,7768.0
1599,E02001670,0.0029925187032418953,0.3828761429758936,0.0029925187032418953,0.0004987531172069825,0.04488778054862843,0.4907730673316708,0.06400665004156277,0.007315045719035744,0.003657522859517872,6015.0
1600,E02001671,0.004459507670353193,0.5231894398858365,0.0012486621476988941,0.0005351409204423831,0.012843382090617196,0.400820549411345,0.050124866214769886,0.00463788797716732,0.0021405636817695326,5606.0
1601,E02001672,0.002676032781401572,0.45559458103361766,0.0008362602441879914,0.001338016390700786,0.00869710653955511,0.47048001338016393,0.057032948653621005,0.0030105368790767687,0.0003345040976751965,5979.0
1602,E02001673,0.0021129466000768342,0.4706108336534768,0.0024971187091817133,0.000768344218209758,0.005186323472915867,0.46696119861698043,0.04859777180176719,0.0032654629273914716,0.0,5206.0
1603,E02001674,0.002089749230092389,0.4892212934447866,0.0026396832380114386,0.0014298284205895293,0.02067751869775627,0.4272987241531016,0.050593928728552576,0.0032996040475142983,0.0027496700395952486,9092.0
1604,E02001675,0.0032074126870990736,0.46768828700403897,0.000831551437396056,0.0003563791874554526,0.010691375623663579,0.4591351865051081,0.052862912805892136,0.004038964124495129,0.0011879306248515087,8418.0
1605,E02001676,0.0037459560701515408,0.4833986037800102,0.004256768261535842,0.001021624382768602,0.022305465690447814,0.43555252852034737,0.04682445087689426,0.0023837902264600714,0.000510812191384301,5873.0
1606,E02001678,0.002860957467098989,0.49074957085637994,0.008582872401296968,0.003147053213808888,0.03642952508106046,0.3949074957085638,0.054453557123784094,0.0035285142094220864,0.0053404539385847796,10486.0
1607,E02001679,0.003320683111954459,0.4244149272612271,0.0018975332068311196,0.0007906388361796331,0.03225806451612903,0.4715370018975332,0.0605629348513599,0.004901960784313725,0.00031625553447185326,6324.0
