,GEOGRAPHY_CODE,1 person disabled under the Equality Act in household,2 or more people disabled under the Equality Act in household,No people disabled under the Equality Act in household,Total: All households
950,E02001002,0.2930780559646539,0.08934707903780069,0.6175748649975454,1
951,E02001003,0.23824673029338989,0.0607988688582538,0.7009544008483564,1
952,E02001004,0.30205949656750575,0.07355344883949003,0.6243870545930043,1
953,E02001005,0.27964601769911507,0.06666666666666667,0.6536873156342183,1
954,E02001006,0.26359680928208845,0.07904278462654098,0.6573604060913706,1
955,E02001007,0.296448087431694,0.08287795992714025,0.6206739526411658,1
956,E02001008,0.2943462897526502,0.07915194346289753,0.6265017667844524,1
957,E02001009,0.289553241518307,0.07557944239166947,0.6348673160900236,1
958,E02001010,0.2863453815261044,0.08514056224899598,0.6285140562248996,1
959,E02001011,0.23529411764705882,0.05480746515473659,0.7098984171982046,1
960,E02001012,0.28624161073825505,0.09463087248322148,0.6191275167785235,1
961,E02001013,0.24148978774529437,0.07408890668802563,0.68442130556668,1
962,E02001014,0.2973830293417922,0.08458895056833202,0.6180280200898758,1
963,E02001015,0.32296526697770866,0.06817003628823225,0.6088646967340591,1
964,E02001016,0.33073929961089493,0.10865010475905418,0.5606105956300509,1
965,E02001017,0.26088822141171425,0.06994207251662733,0.6691697060716585,1
966,E02001018,0.26004500160720023,0.06396657023465124,0.6759884281581485,1
967,E02001019,0.24374079528718703,0.05375552282768778,0.7025036818851251,1
968,E02001020,0.2475089677162216,0.059386209645277,0.6931048226385014,1
969,E02001021,0.24370277078085642,0.056360201511335015,0.6999370277078085,1
970,E02001022,0.28987228987228986,0.08731808731808732,0.6228096228096228,1
971,E02001023,0.26066350710900477,0.08530805687203792,0.6540284360189573,1
972,E02001024,0.2468916518650089,0.06571936056838366,0.6873889875666075,1
973,E02001025,0.32145985401459853,0.08642335766423358,0.5921167883211679,1
974,E02001026,0.2815068493150685,0.07123287671232877,0.6472602739726028,1
975,E02001027,0.277935158954989,0.058860560276990874,0.6632042807680202,1
976,E02001028,0.23878670538883512,0.06776379477250725,0.6934494998386577,1
977,E02001029,0.2979833101529903,0.08171070931849791,0.6203059805285118,1
