,GEOGRAPHY_CODE,Occupancy rating of rooms: +1,Occupancy rating of rooms: +2 or more,Occupancy rating of rooms: -1,Occupancy rating of rooms: -2 or less,Occupancy rating of rooms: 0,Total: All households
6689,E02006947,0.2655417406749556,0.13676731793960922,0.1438721136767318,0.05032563647128478,0.4034931912374186,3378.0
6690,E02006948,0.2013397841458876,0.08969110532192036,0.2084108671380722,0.05173055452177149,0.44882768887234836,2687.0
6691,E02006949,0.23483226266952176,0.4004282655246253,0.06709493219129194,0.01748750892219843,0.2801570306923626,2802.0
6692,E02006950,0.22759039805530235,0.14463688848374354,0.15618353084168946,0.03798237617745366,0.433606806441811,3291.0
6693,E02006951,0.2402044293015332,0.11073253833049404,0.17683134582623508,0.01090289608177172,0.46132879045996594,2935.0
6694,E02006952,0.3181818181818182,0.12251420454545454,0.12535511363636365,0.01171875,0.42223011363636365,2816.0
6695,E02006953,0.22957198443579765,0.06355382619974059,0.1940337224383917,0.023346303501945526,0.4894941634241245,3855.0
6696,E02006954,0.2184309511015583,0.17947340139709833,0.18162278344975819,0.03868887694787748,0.3817839871037077,3722.0
6697,E02006955,0.19269102990033224,0.07161314138058324,0.1461794019933555,0.041343669250646,0.5481727574750831,2709.0
6698,E02006956,0.19481037924151698,0.3409181636726547,0.13892215568862276,0.058682634730538925,0.26666666666666666,2505.0
6699,E02006957,0.27031074503931113,0.21190565331336578,0.12429801572444778,0.028079371022089104,0.36540621490078623,2671.0
6700,E02006958,0.3090198632367307,0.2546401823510257,0.07749918593292088,0.024096385542168676,0.33474438293715403,3071.0
6701,E02006959,0.35447680690399136,0.05717367853290183,0.11024811218985976,0.003667745415318231,0.47443365695792883,4635.0
6702,E02006960,0.3675889328063241,0.13254281949934124,0.06482213438735178,0.006851119894598155,0.4281949934123847,3795.0
6703,E02006961,0.33989209774674706,0.15772770549032053,0.0660107902253253,0.014281180577594414,0.4220882259600127,3151.0
6704,E02006962,0.33387227162489896,0.10105092966855295,0.056588520614389654,0.009296685529506871,0.49919159256265155,2474.0
6705,E02006963,0.3790112749349523,0.05203816131830009,0.12980630239953744,0.006071118820468344,0.43307314252674184,3459.0
6706,E02006964,0.30529172320217096,0.3582089552238806,0.06648575305291723,0.010854816824966078,0.2591587516960651,2211.0
6707,E02006965,0.25106990014265335,0.43651925820256776,0.06669044222539229,0.020684736091298145,0.22503566333808844,2804.0
6708,E02006966,0.19136408243375858,0.6830225711481845,0.018645731108930325,0.007360157016683023,0.09960745829244357,2038.0
6709,E02006967,0.2584514721919302,0.6030534351145038,0.030170846964740095,0.0061795710650672485,0.10214467466375864,2751.0
6710,E02006968,0.22808988764044943,0.3598314606741573,0.12106741573033708,0.01544943820224719,0.275561797752809,3560.0
6711,E02006969,0.2506720430107527,0.15288978494623656,0.13608870967741934,0.016801075268817203,0.4435483870967742,2976.0
6712,E02006970,0.15483234714003946,0.15581854043392504,0.23323471400394477,0.15483234714003946,0.30128205128205127,2028.0
6713,E02006971,0.21422142214221424,0.26507650765076507,0.16651665166516652,0.11386138613861387,0.24032403240324032,2222.0
6714,E02006972,0.26820908311910885,0.12724935732647816,0.12724935732647816,0.029991431019708654,0.4473007712082262,2334.0
6715,E02006973,0.2608695652173913,0.11728395061728394,0.1419753086419753,0.026570048309178744,0.4533011272141707,3726.0
6716,E02006974,0.35205696202531644,0.372626582278481,0.027294303797468354,0.003955696202531646,0.24406645569620253,5056.0
6717,E02006975,0.24076865109269027,0.12622456669178597,0.1314996232102487,0.012057272042200452,0.4894498869630746,2654.0
6718,E02006976,0.23056768558951965,0.11790393013100436,0.18078602620087336,0.027074235807860263,0.44366812227074237,2290.0
6719,E02006978,0.30154946364719903,0.23688915375446962,0.058700834326579264,0.0059594755661501785,0.39690107270560193,3356.0
6720,E02006979,0.29023589131083904,0.20692744102717228,0.0582263362197671,0.005076142131979695,0.43953418931024185,3349.0
6721,E02006980,0.23533355682199128,0.6423064029500503,0.020449212202480724,0.0023466309084813944,0.09956419711699631,2983.0
6722,E02006981,0.23958650045606567,0.5618729096989966,0.026755852842809364,0.002736394040741867,0.16904834296138643,3289.0
6723,E02006982,0.24536082474226803,0.5821930646672915,0.017432052483598876,0.0013120899718837863,0.15370196813495782,5335.0
6724,E02006983,0.3304428615670486,0.21090120780427377,0.07401672344379065,0.013936203158872717,0.37070300402601425,3229.0
6725,E02006984,0.36636332996292553,0.08931580721267274,0.04010785305021908,0.005729693292888439,0.49848331648129424,2967.0
6726,E02006985,0.26910828025477707,0.24761146496815287,0.12818471337579618,0.08957006369426751,0.26552547770700635,2512.0
6727,E02006986,0.3339085418464193,0.22648835202761,0.12295081967213115,0.04357204486626402,0.2730802415875755,2318.0
6728,E02006987,0.20959010054137664,0.04356792987883475,0.2034029389017788,0.020108275328692964,0.5233307553493168,3879.0
6729,E02006988,0.21445856019358742,0.1512401693889897,0.16515426497277677,0.03145795523290986,0.43768905021173626,3306.0
6730,E02006989,0.2424581005586592,0.24878957169459961,0.08603351955307263,0.01303538175046555,0.409683426443203,2685.0
6731,E02006990,0.30493859419911157,0.13509276195453357,0.08178730075777371,0.006532532009406846,0.4716488110791743,3827.0
6732,E02006991,0.35376044568245124,0.07861343237387805,0.06778087279480037,0.0061900340451872485,0.49365521510368304,3231.0
6733,E02006992,0.3162642610772088,0.15786680817192889,0.08808702573626957,0.01061289466702043,0.4271690103475723,3769.0
6734,E02006993,0.28027586206896554,0.11144827586206897,0.08910344827586207,0.018758620689655173,0.5004137931034482,3625.0
6735,E02006994,0.20523751522533495,0.09744214372716199,0.19062119366626065,0.04171741778319123,0.4649817295980512,3284.0
6736,E02006995,0.2934816187828236,0.07970342910101946,0.08588198949644733,0.020698177324683348,0.5202347852950263,3237.0
