,GEOGRAPHY_CODE,All persons,Female,Male
2198,E02002485,1,1.0,0.0
2199,E02002489,1,0.25,0.75
2200,E02002492,1,0.0,1.0
2201,E02002494,1,0.3333333333333333,0.6666666666666666
2202,E02002496,1,0.45925925925925926,0.5407407407407407
2203,E02002497,1,0.4117647058823529,0.5882352941176471
2204,E02002498,1,0.3780487804878049,0.6219512195121951
2205,E02002499,1,1.0,0.0
2206,E02002500,1,0.2,0.8
2207,E02002501,1,0.4,0.6
2208,E02002502,1,0.6666666666666666,0.3333333333333333
2209,E02002503,1,0.4,0.6
2210,E02002504,1,0.38461538461538464,0.6153846153846154
2211,E02002505,1,1.0,0.0
2212,E02002506,1,0.6,0.4
2213,E02002507,1,0.3333333333333333,0.6666666666666666
2214,E02002509,1,0.5,0.5
2215,E02002510,1,0.5,0.5
2216,E02002512,1,1.0,0.0
2217,E02002513,1,0.5,0.5
2218,E02002514,1,0.6666666666666666,0.3333333333333333
2219,E02002516,1,1.0,0.0
2220,E02002517,1,0.6666666666666666,0.3333333333333333
2221,E02002519,1,1.0,0.0
2222,E02002520,1,0.3333333333333333,0.6666666666666666
2223,E02002521,1,0.25,0.75
2224,E02002523,1,1.0,0.0
2225,E02002524,1,1.0,0.0
2226,E02002526,1,1.0,0.0
2227,E02002527,1,0.0,1.0
2228,E02002529,1,1.0,0.0
2229,E02002533,1,0.2,0.8
2230,E02002534,1,0.6666666666666666,0.3333333333333333
2231,E02002535,1,1.0,0.0
2232,E02002537,1,0.3333333333333333,0.6666666666666666
2233,E02002539,1,0.5714285714285714,0.42857142857142855
2234,E02002541,1,1.0,0.0
2235,E02002542,1,1.0,0.0
2236,E02002543,1,0.0,1.0
2237,E02002544,1,0.2,0.8
2238,E02002546,1,0.2,0.8
2239,E02002549,1,1.0,0.0
2240,E02002550,1,0.25,0.75
2241,E02002551,1,0.5,0.5
2242,E02002552,1,0.42857142857142855,0.5714285714285714
2243,E02002553,1,0.0,1.0
2244,E02002554,1,1.0,0.0
2245,E02002555,1,0.0,1.0
2246,E02002556,1,0.6,0.4
2247,E02002558,1,0.38095238095238093,0.6190476190476191
2248,E02002559,1,0.2857142857142857,0.7142857142857143
2249,E02002560,1,0.5,0.5
2250,E02002561,1,0.6666666666666666,0.3333333333333333
2251,E02002562,1,0.5,0.5
2252,E02002563,1,1.0,0.0
2253,E02002567,1,0.875,0.125
2254,E02002568,1,0.3333333333333333,0.6666666666666666
2255,E02002569,1,0.6666666666666666,0.3333333333333333
2256,E02002570,1,0.5,0.5
2257,E02002572,1,1.0,0.0
2258,E02002573,1,0.8,0.2
2259,E02002575,1,0.0,1.0
2260,E02002577,1,0.25,0.75
2261,E02002578,1,0.5,0.5
2262,E02002579,1,0.0,1.0
2263,E02002580,1,0.2,0.8
2264,E02002582,1,0.075,0.925
2265,E02002583,1,0.4,0.6
2266,E02002584,1,1.0,0.0
2267,E02002585,1,0.6666666666666666,0.3333333333333333
2268,E02002586,1,0.375,0.625
2269,E02002587,1,0.0,1.0
2270,E02002588,1,0.0,1.0
2271,E02002590,1,0.3333333333333333,0.6666666666666666
2272,E02002592,1,0.5,0.5
2273,E02002593,1,0.5,0.5
2274,E02002594,1,0.4,0.6
2275,E02002595,1,0.5294117647058824,0.47058823529411764
2276,E02002596,1,0.0,1.0
2277,E02002597,1,0.2,0.8
