,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ETH_20_NAME,OBS_VALUE
268,2021,E01012683,2021 super output areas - lower layer,151,White: Irish,12
269,2021,E01012683,2021 super output areas - lower layer,151,White: Gypsy or Irish Traveller,5
270,2021,E01012683,2021 super output areas - lower layer,151,White: Roma,2
271,2021,E01012683,2021 super output areas - lower layer,151,White: Other White,44
272,2021,E01012683,2021 super output areas - lower layer,151,Other ethnic group,22
273,2021,E01012683,2021 super output areas - lower layer,151,Other ethnic group: Arab,5
274,2021,E01012683,2021 super output areas - lower layer,151,Other ethnic group: Any other ethnic group,17
275,2021,E01012748,2021 super output areas - lower layer,151,Total: All usual residents,1737
276,2021,E01012748,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh",76
277,2021,E01012748,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Bangladeshi",9
278,2021,E01012748,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Chinese",16
279,2021,E01012748,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Indian",23
280,2021,E01012748,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Pakistani",7
281,2021,E01012748,2021 super output areas - lower layer,151,"Asian, Asian British or Asian Welsh: Other Asian",21
282,2021,E01012748,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African",12
283,2021,E01012748,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: African",10
284,2021,E01012748,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",2
285,2021,E01012748,2021 super output areas - lower layer,151,"Black, Black British, Black Welsh, Caribbean or African: Other Black",0
286,2021,E01012748,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups,30
287,2021,E01012748,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Asian,16
288,2021,E01012748,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Black African,7
289,2021,E01012748,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: White and Black Caribbean,5
290,2021,E01012748,2021 super output areas - lower layer,151,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,2
291,2021,E01012748,2021 super output areas - lower layer,151,White,1593
292,2021,E01012748,2021 super output areas - lower layer,151,"White: English, Welsh, Scottish, Northern Irish or British",1509
293,2021,E01012748,2021 super output areas - lower layer,151,White: Irish,11
