,GEOGRAPHY_CODE,Address one year ago is student term-time or boarding school address in the UK,Address one year ago is the same as the address of enumeration,Migrant from outside the UK: Address one year ago was outside the UK,Migrant from within the UK: Address one year ago was in the UK,Total: All usual residents
4049,E02004224,0.002032838154808444,0.8999218139171228,0.0034401876465989054,0.0946051602814699,6395.0
4050,E02004225,0.0017448961786773686,0.906473564822893,0.002442854650148316,0.08933868434828128,5731.0
4051,E02004226,0.0011017766147913511,0.9084148188954689,0.004820272689712161,0.08566313180002755,7261.0
4052,E02004227,0.0018789556962025317,0.8917128164556962,0.0034612341772151897,0.10294699367088607,10112.0
4053,E02004228,0.0012448132780082987,0.9017980636237898,0.00636237897648686,0.09059474412171507,7230.0
4054,E02004229,0.002532671461857968,0.907202917637524,0.00395096748049843,0.08631344342011954,9871.0
4055,E02004230,0.0015690376569037657,0.9059884937238494,0.00653765690376569,0.08590481171548117,7648.0
4056,E02004231,0.001989766913018761,0.8880045480386584,0.00611142694712905,0.10389425810119386,7036.0
4057,E02004232,0.0016053706946876824,0.9042615294804437,0.0037945125510799767,0.09033858727378867,6852.0
4058,E02004233,0.0036560165315530123,0.883722778572564,0.005484024797329518,0.10713718009855348,12582.0
4059,E02004234,0.001937984496124031,0.9184431524547804,0.004037467700258398,0.0755813953488372,6192.0
4060,E02004235,0.003847337642351493,0.9258233302554633,0.00538627269929209,0.0649430594028932,6498.0
4061,E02004236,0.0012953367875647669,0.913050518134715,0.0037240932642487044,0.0819300518134715,6176.0
4062,E02004237,0.001854140914709518,0.9168108776266997,0.0034610630407911,0.07787391841779975,8090.0
4063,E02004238,0.0017480166733898077,0.900094123974721,0.003764958988839586,0.09439290036304962,7437.0
4064,E02004239,0.002904162633107454,0.9128751210067764,0.003226847370119393,0.08099386898999678,6198.0
4065,E02004240,0.0008274036074797286,0.9228859837828893,0.005295383087870263,0.07099122952176072,6043.0
4066,E02004241,0.0022364217252396168,0.8963791267305644,0.004685835995740149,0.09669861554845581,9390.0
4067,E02004242,0.003573093055771322,0.9088084511418363,0.004660556159701725,0.0829578996426907,6437.0
4068,E02004243,0.0015595757953836558,0.9184341859014348,0.004678727386150967,0.07532751091703056,6412.0
4069,E02004244,0.0009194798371207146,0.9027978457900959,0.002627085248916327,0.09365558912386707,7613.0
4070,E02004245,0.0014808831448572966,0.9106085083467959,0.0030963920301561657,0.08481421647819062,7428.0
4071,E02004246,0.0020361415118350726,0.8941206413845763,0.003817765334690761,0.10002545176889793,7858.0
4072,E02004247,0.001979544704717915,0.9178488947542065,0.006598482349059716,0.07357307819201583,6062.0
4073,E02004248,0.0012228260869565218,0.9095108695652174,0.005298913043478261,0.08396739130434783,7360.0
4074,E02004249,0.0013438602385351924,0.8837560893667059,0.0026877204770703847,0.11221232991768856,5953.0
4075,E02004250,0.0010339925035543493,0.9020292102882254,0.0024557321959415793,0.09448106501227867,7737.0
4076,E02004251,0.0014363230130864987,0.9061602298116821,0.0022342802425789976,0.09016916693265241,6266.0
4077,E02004252,0.0018968133535660092,0.8639352554375316,0.00417298937784522,0.12999494183105717,7908.0
4078,E02004253,0.0012298862355232141,0.904581326227324,0.002562262990673363,0.09162652454647945,9757.0
4079,E02004254,0.002042007001166861,0.9094710229482692,0.0030143912874367952,0.0854725787631272,10284.0
4080,E02004255,0.0019249278152069298,0.9177780833218754,0.005224804069847381,0.07507218479307026,7273.0
4081,E02004256,0.002188183807439825,0.900328227571116,0.008971553610503282,0.08851203501094092,9140.0
4082,E02004257,0.0023148148148148147,0.8801807760141094,0.005621693121693121,0.11188271604938271,9072.0
4083,E02004258,0.001639344262295082,0.9048216007714561,0.005593056894889103,0.0879459980713597,10370.0
4084,E02004259,0.005620345651257552,0.8807081635520585,0.00590136293382043,0.10777012786286357,7117.0
4085,E02004260,0.005915178571428571,0.8338169642857143,0.010602678571428572,0.14966517857142858,8960.0
4086,E02004261,0.0014615609470914938,0.911624281399201,0.0029231218941829875,0.0839910357595245,10263.0
