,GEOGRAPHY_CODE,Household reference person has not previously served in regular or reserve UK armed forces,Household reference person previously served in both regular and reserve UK armed forces,Household reference person previously served in regular UK armed forces,Household reference person previously served in reserve UK armed forces,Total: All households
5928,E02006169,0.9385820280296785,0.0016488046166529267,0.05152514427040396,0.008244023083264633,2426.0
5929,E02006170,0.9410499139414802,0.00387263339070568,0.045180722891566265,0.009896729776247849,2324.0
5930,E02006171,0.9372174786539428,0.0030135610246107484,0.048970366649924664,0.010798593671521849,3982.0
5931,E02006172,0.9318568994889267,0.003163786809442687,0.05524458505719153,0.009734728644439037,4109.0
5932,E02006173,0.9372706039372706,0.005338672005338672,0.047380714047380715,0.01001001001001001,2997.0
5933,E02006174,0.939297124600639,0.0019169329073482429,0.047284345047923323,0.011501597444089457,4695.0
5934,E02006175,0.9457614942528736,0.0021551724137931034,0.04058908045977012,0.011494252873563218,2784.0
5935,E02006176,0.9368916797488226,0.0018838304552590266,0.04740973312401884,0.013814756671899528,3185.0
5936,E02006177,0.9367269267364415,0.003092293054234063,0.05233111322549953,0.00784966698382493,4204.0
5937,E02006178,0.9463732176069436,0.0024798512089274642,0.04215747055176689,0.008989460632362058,3226.0
5938,E02006179,0.9302977232924694,0.0031523642732049035,0.05253940455341506,0.014010507880910683,2855.0
5939,E02006180,0.9437635183850036,0.003965392934390771,0.04037490987743331,0.011896178803172314,2774.0
5940,E02006181,0.9302781041911476,0.0035252643948296123,0.0564042303172738,0.009792401096748922,2553.0
5941,E02006182,0.9444444444444444,0.0013717421124828531,0.04458161865569273,0.009602194787379973,2916.0
5942,E02006185,0.9388139315971132,0.004079071226859115,0.04737998117351742,0.009727016002510198,3187.0
5943,E02006186,0.9329926178307779,0.0028392958546280523,0.05337876206700738,0.010789324247586598,5283.0
5944,E02006187,0.9388016661326498,0.003524511374559436,0.04581864786927267,0.011855174623518103,3121.0
5945,E02006188,0.9207151185386708,0.005441119315973571,0.061795569374271275,0.012048192771084338,2573.0
5946,E02006189,0.9254738194667523,0.004818503051718599,0.05782203662062319,0.011885640860905879,3113.0
5947,E02006190,0.9396433470507545,0.003723300019596316,0.04467960023515579,0.011953752694493435,5103.0
5948,E02006191,0.9404145077720207,0.0025906735751295338,0.04691997697179044,0.010074841681059297,3474.0
5949,E02006192,0.9341271852039523,0.0040537116797567775,0.05041803901697492,0.011401064099315936,3947.0
5950,E02006193,0.9004315659679408,0.0036991368680641184,0.08045622688039457,0.015413070283600493,3244.0
5951,E02006194,0.9282164549972391,0.0016565433462175593,0.060739922694643844,0.009387078961899503,3622.0
5952,E02006195,0.9267219057483169,0.0036250647332988087,0.06059036768513724,0.009062661833247023,3862.0
5953,E02006196,0.9294762067785005,0.003765833618623759,0.05717220130092434,0.009585758301951387,2921.0
5954,E02006197,0.9443193449334698,0.0016376663254861821,0.04605936540429888,0.007983623336745137,4885.0
5955,E02006198,0.9036111865327179,0.004344284550638067,0.07982622861797448,0.012218300298669563,3683.0
5956,E02006199,0.9195979899497487,0.0030709101060859855,0.06728084868788387,0.010050251256281407,3582.0
5957,E02006200,0.9197459584295612,0.004907621247113164,0.06466512702078522,0.010681293302540416,3464.0
5958,E02006201,0.9209648950774662,0.0031378701706216905,0.0655030398117278,0.01039419494018435,5099.0
5959,E02006202,0.9247285291214216,0.0034550839091806516,0.05947680157946693,0.012339585389930898,4052.0
5960,E02006203,0.9165446559297218,0.003513909224011713,0.06969253294289897,0.010248901903367497,3415.0
5961,E02006204,0.9525741029641186,0.00374414976599064,0.03650546021840874,0.007176287051482059,3205.0
5962,E02006205,0.9300940438871473,0.0025078369905956114,0.05454545454545454,0.012852664576802508,3190.0
5963,E02006206,0.958259847148736,0.003233392122281011,0.030864197530864196,0.007642563198118754,3402.0
5964,E02006207,0.9364689364689365,0.005265005265005265,0.05019305019305019,0.008073008073008073,2849.0
5965,E02006208,0.9443748433976447,0.0045101478326234025,0.045101478326234026,0.00601353044349787,3991.0
5966,E02006209,0.9362946912242687,0.003683640303358613,0.04962080173347779,0.010400866738894909,4615.0
5967,E02006210,0.9501103752759382,0.0026490066225165563,0.03620309050772627,0.011037527593818985,2265.0
5968,E02006211,0.9354014598540146,0.00291970802919708,0.05072992700729927,0.010948905109489052,2740.0
5969,E02006212,0.9415292353823088,0.0029985007496251873,0.046176911544227886,0.009295352323838081,3335.0
5970,E02006213,0.9427574171029668,0.0013961605584642235,0.04502617801047121,0.010820244328097731,2865.0
5971,E02006214,0.9420943134535368,0.0038141470180305132,0.04507628294036061,0.009015256588072122,2884.0
5972,E02006215,0.9353801169590643,0.0029239766081871343,0.049707602339181284,0.011988304093567251,3420.0
5973,E02006216,0.9323308270676691,0.003898635477582846,0.053188526872737396,0.010582010582010581,3591.0
5974,E02006217,0.9364851957975168,0.0035816618911174787,0.05038204393505253,0.009551098376313277,4188.0
5975,E02006218,0.9401314188366999,0.0029204185933317107,0.04867364322219518,0.008274519347773181,4109.0
5976,E02006219,0.935969312481558,0.0014753614635585719,0.05370315727353202,0.00885216878135143,3389.0
5977,E02006220,0.9403078856424757,0.0025133521834747093,0.04743952246308514,0.0097392397109645,3183.0
5978,E02006221,0.9565737051792829,0.0015936254980079682,0.03266932270916335,0.009163346613545816,2510.0
5979,E02006222,0.9405869720830351,0.0017895490336435219,0.05010737294201861,0.007516105941302791,2794.0
5980,E02006223,0.9449886963074604,0.002260738507912585,0.04295403165033911,0.009796533534287867,2654.0
5981,E02006224,0.9438164893617021,0.004321808510638298,0.041223404255319146,0.010638297872340425,3008.0
5982,E02006225,0.9378084896347483,0.0026324448831852583,0.04738400789733465,0.01217505758473182,3039.0
5983,E02006226,0.9492663516538175,0.002238249191743347,0.03979109674210395,0.00870430241233524,4021.0
5984,E02006227,0.9295257181028724,0.0026720106880427524,0.05410821643286573,0.013694054776219105,2994.0
5985,E02006228,0.9375945537065052,0.00340393343419062,0.048411497730711045,0.01059001512859304,2644.0
5986,E02006229,0.928367783321454,0.0042765502494654314,0.05523877405559515,0.012116892373485389,2806.0
5987,E02006230,0.9183454779254179,0.0038576939562794685,0.06622374624946421,0.011573081868838405,4666.0
5988,E02006231,0.9387430389817024,0.003447361442588173,0.04402015380535667,0.013789445770352692,3771.0
5989,E02006232,0.931722286152666,0.0038358266206367474,0.05331799002685079,0.011123897199846567,2607.0
5990,E02006233,0.9350530552506403,0.004573728503476033,0.05104281009879254,0.009330406147091108,5466.0
5991,E02006234,0.942716049382716,0.0024691358024691358,0.04765432098765432,0.007160493827160494,4050.0
5992,E02006235,0.929176072234763,0.0031038374717832955,0.05417607223476298,0.013544018058690745,3544.0
5993,E02006236,0.923094322551459,0.0036190907034607555,0.06107215562090025,0.01221443112418005,4421.0
5994,E02006237,0.9032756489493201,0.005253399258343634,0.07354758961681088,0.01792336217552534,3236.0
5995,E02006238,0.9206666666666666,0.0035555555555555557,0.06577777777777778,0.01,4500.0
5996,E02006239,0.9398496240601504,0.0033082706766917294,0.04932330827067669,0.007518796992481203,3325.0
5997,E02006240,0.9544124817162359,0.0019502681618722574,0.0348610433934666,0.008776206728425159,4102.0
5998,E02006241,0.9367588932806324,0.002717391304347826,0.05113636363636364,0.009387351778656126,4048.0
5999,E02006242,0.9509026860413915,0.001321003963011889,0.037648612945838836,0.010127697049757816,4542.0
6000,E02006243,0.9518099547511312,0.001583710407239819,0.03755656108597285,0.00904977375565611,4420.0
6001,E02006245,0.9231004901960784,0.003676470588235294,0.06464460784313726,0.00857843137254902,3264.0
6002,E02006246,0.9320483502123489,0.001633453119895459,0.053250571708591966,0.013067624959163672,3061.0
6003,E02006247,0.9483921161825726,0.0033713692946058093,0.040975103734439834,0.007261410788381743,3856.0
