,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ACCTYPE_9_NAME,OBS_VALUE
314,2021,E02004810,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,922
315,2021,E02004810,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",68
316,2021,E02004810,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",24
317,2021,E02004810,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",33
318,2021,E02004810,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,0
319,2021,E02004811,2021 super output areas - middle layer,152,Total,3426
320,2021,E02004811,2021 super output areas - middle layer,152,Detached,553
321,2021,E02004811,2021 super output areas - middle layer,152,Semi-detached,822
322,2021,E02004811,2021 super output areas - middle layer,152,Terraced,791
323,2021,E02004811,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,873
324,2021,E02004811,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",285
325,2021,E02004811,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",75
326,2021,E02004811,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",26
327,2021,E02004811,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,1
328,2021,E02004812,2021 super output areas - middle layer,152,Total,2568
329,2021,E02004812,2021 super output areas - middle layer,152,Detached,634
330,2021,E02004812,2021 super output areas - middle layer,152,Semi-detached,1076
331,2021,E02004812,2021 super output areas - middle layer,152,Terraced,432
332,2021,E02004812,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,264
333,2021,E02004812,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",128
334,2021,E02004812,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",10
335,2021,E02004812,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",24
