,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,COB_NAME,OBS_VALUE
383,2001,E02002515,2001 super output areas - middle layer,305,Elsewhere,101
384,2001,E02002516,2001 super output areas - middle layer,305,All people,6365
385,2001,E02002516,2001 super output areas - middle layer,305,England,5952
386,2001,E02002516,2001 super output areas - middle layer,305,Scotland,161
387,2001,E02002516,2001 super output areas - middle layer,305,Wales,28
388,2001,E02002516,2001 super output areas - middle layer,305,Northern Ireland,21
389,2001,E02002516,2001 super output areas - middle layer,305,Republic of Ireland,42
390,2001,E02002516,2001 super output areas - middle layer,305,Other EU countries,43
391,2001,E02002516,2001 super output areas - middle layer,305,Elsewhere,118
392,2001,E02002517,2001 super output areas - middle layer,305,All people,5771
393,2001,E02002517,2001 super output areas - middle layer,305,England,5456
394,2001,E02002517,2001 super output areas - middle layer,305,Scotland,130
395,2001,E02002517,2001 super output areas - middle layer,305,Wales,42
396,2001,E02002517,2001 super output areas - middle layer,305,Northern Ireland,23
397,2001,E02002517,2001 super output areas - middle layer,305,Republic of Ireland,32
398,2001,E02002517,2001 super output areas - middle layer,305,Other EU countries,37
399,2001,E02002517,2001 super output areas - middle layer,305,Elsewhere,51
400,2001,E02002518,2001 super output areas - middle layer,305,All people,10747
401,2001,E02002518,2001 super output areas - middle layer,305,England,10222
402,2001,E02002518,2001 super output areas - middle layer,305,Scotland,235
403,2001,E02002518,2001 super output areas - middle layer,305,Wales,59
404,2001,E02002518,2001 super output areas - middle layer,305,Northern Ireland,34
405,2001,E02002518,2001 super output areas - middle layer,305,Republic of Ireland,34
406,2001,E02002518,2001 super output areas - middle layer,305,Other EU countries,57
407,2001,E02002518,2001 super output areas - middle layer,305,Elsewhere,106
408,2001,E02002519,2001 super output areas - middle layer,305,All people,7022
409,2001,E02002519,2001 super output areas - middle layer,305,England,6503
410,2001,E02002519,2001 super output areas - middle layer,305,Scotland,224
411,2001,E02002519,2001 super output areas - middle layer,305,Wales,52
412,2001,E02002519,2001 super output areas - middle layer,305,Northern Ireland,24
